鄉鎮市區,土地區段位置建物區段門牌,交易年月日,Price,Floor,Area,bad100m,edu500m,med1000m,class_MRT,class_bus,building_station_distance,building_busstop_distance,Parking,Landusage,交易年月,int_rate,salary,population
新莊區,忠孝段451~480地號,1010531,491840.1016,13,25.8214,0,1,1,3,1,808.204422,102.412015,1,1,10105,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010713,473250.8694,15,25.8214,0,1,1,3,1,808.204422,102.412015,1,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010617,479447.2802,17,25.8214,0,1,1,3,1,808.204422,102.412015,1,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010626,487192.7936,18,25.8214,0,1,1,3,1,808.204422,102.412015,1,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010714,449772.424,3,23.700875,0,1,1,3,1,808.204422,102.412015,1,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010819,449350.4987,5,23.700875,0,1,1,3,1,808.204422,102.412015,1,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010605,421918.29799999995,15,30.76425,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010619,464897.6361,14,28.9311,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010609,480448.7168,16,26.8499,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010711,487897.5341,17,26.8499,0,1,1,3,1,808.204422,102.412015,2,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010710,495346.3514,18,26.8499,0,1,1,3,1,808.204422,102.412015,2,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010606,453530.6796,9,22.049225,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010605,448088.3115,12,22.049225,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010605,448088.3115,11,22.049225,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010605,448088.3115,13,22.049225,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010530,459712.9041,9,28.9311,0,1,1,3,1,808.204422,102.412015,2,1,10105,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010531,475267.1001,10,28.9311,0,1,1,3,1,808.204422,102.412015,1,1,10105,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010609,460404.2017,11,28.9311,0,1,1,3,1,808.204422,102.412015,1,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010601,463169.3921,12,28.9311,0,1,1,3,1,808.204422,102.412015,1,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010609,463169.3921,13,28.9311,0,1,1,3,1,808.204422,102.412015,1,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010526,497261.7468,15,21.879825,0,1,1,3,1,808.204422,102.412015,1,1,10105,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010601,484464.5695,16,21.879825,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010605,495890.6207,18,21.879825,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010708,478676.2849,7,17.130575,0,1,1,3,1,808.204422,102.412015,2,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010628,472838.7693,9,17.130575,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010729,392282.19399999996,14,21.668075,0,1,1,3,1,808.204422,102.412015,2,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010804,481595.0428,15,17.130575,0,1,1,3,1,808.204422,102.412015,2,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010818,489183.8132,16,17.130575,0,1,1,3,1,808.204422,102.412015,2,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010722,364751.8669,2,28.238375,0,1,1,3,1,808.204422,102.412015,2,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010714,459054.7817,6,23.700875,0,1,1,3,1,808.204422,102.412015,2,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010721,465383.662,7,23.700875,0,1,1,3,1,808.204422,102.412015,2,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010811,476775.6465,11,23.700875,0,1,1,3,1,808.204422,102.412015,2,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010805,468337.1395,12,23.700875,0,1,1,3,1,808.204422,102.412015,2,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010816,478885.2732,13,23.700875,0,1,1,3,1,808.204422,102.412015,2,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010814,399456.4135,14,28.238375,0,1,1,3,1,808.204422,102.412015,2,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010530,471026.7167,9,26.750075,0,1,1,3,1,808.204422,102.412015,2,1,10105,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010617,463550.1022,10,26.750075,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010601,469157.5631,11,26.750075,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010612,464671.5944,12,26.750075,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010606,479624.8235,13,26.750075,0,1,1,3,1,808.204422,102.412015,2,1,10106,3.219,537021,23270367
